name,latitude,longitude
삼춘,36.42102683,128.576998
하화,36.41882715,128.699326
묵계,36.43786162,128.9287923
지품,36.48092,129.1747296
수암,36.46159596,129.2107704
일광(상행),35.29233912,129.2061941
김해(하행),35.29233912,129.2061941
김해(상행),35.22085404,128.8702906
김해(하행),35.22085404,128.8702906
북창원,35.28314827,128.6172025
진례(상행),35.24932395,128.7589787
진례(하행),35.24528591,128.7603006
창원(상행),35.26331546,128.6120097
창원(하행),35.26331546,128.6120097
곤양(상행),35.05317013,127.9446964
곤양(하행),35.05317013,127.9446964
지수(상행),35.20659712,128.2537064
지수(하행),35.20799567,128.2582372
서상(상행),35.63527857,127.7088355
서상(하행),35.6335,127.71391
수동(상행),35.51724618,127.7962334
수동(하행),35.51724618,127.7962334
금서(상행),35.44032162,127.8532348
금서(하행),35.43837913,127.85477
진주(상행),35.1974427,128.0291887
진주(하행),35.19697858,128.0295319
울산(상행),35.55044188,129.1675288
울산(하행),35.55007712,129.1676029
현풍,35.66672,128.43592
창녕(상행),35.53087935,128.4885717
창녕(하행),35.54493533,128.4757461
금곡(상행),35.09479,128.16429
금곡(하행),35.09495156,128.1644658
고성(상행),34.98175411,128.3735157
고성(하행),34.98175411,128.3735157
내남,35.75225939,129.194721
언양,35.59837007,129.140183
삼남,35.545332,129.118872
양산(상행),35.34312987,129.0428034
양산(하행),35.34236,129.04216
